target_word,category,year,context_level,text,prefix,suffix,rank,target_nll,correct@10,correct@20,correct@50,correct@100,top_10_words,top_10_nlls,wl,tier,strategy,seed_word,family,hit
serocrine,synthetic_seeded,,high,The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels ([MASK]),The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels (,),-1,inf,0,0,0,0,endocrine|endocrines|endocrinous|enterocrine|endo|lymphatic|endocrast|hormone|entero|endocrastic,8.9932|11.9657|12.9631|12.9971|13.1691|13.2864|13.5742|13.7020|13.8143|13.8388,serocrine,core,slot_reuse,endocrine,secretion_crine,False
serocrine,synthetic_seeded,,medium,"Where the gland discharges its product not through a duct but directly into the watery serum that bathes the tissues, the secretion is termed [MASK]","Where the gland discharges its product not through a duct but directly into the watery serum that bathes the tissues, the secretion is termed",,-1,inf,0,0,0,0,a|an|serous|watery|hydrocele|by|lymph|serum|interstitial|sweat,0.9385|1.4423|2.2529|3.6880|4.4623|4.7524|4.7726|4.8217|4.8944|5.0065,serocrine,core,slot_reuse,endocrine,secretion_crine,False
serocrine,synthetic_seeded,,low,"He distinguished the duct-bearing type from the [MASK] type, whose elaborated material passes outward only into the surrounding fluid.",He distinguished the duct-bearing type from the," type, whose elaborated material passes outward only into the surrounding fluid.",-1,inf,0,0,0,0,non|ductless|true|common|simple|other|others|ordinary|normal|hepatic,2.1235|2.6723|3.8315|3.8888|4.0530|4.2064|4.6438|4.6439|5.1451|5.3283,serocrine,core,slot_reuse,endocrine,secretion_crine,False
haemacrine,synthetic_seeded,,high,The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels ([MASK]),The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels (,),-1,inf,0,0,0,0,endocrine|endocrines|endocrinous|enterocrine|endo|lymphatic|endocrast|hormone|entero|endocrastic,8.9932|11.9657|12.9631|12.9971|13.1691|13.2864|13.5742|13.7020|13.8143|13.8388,haemacrine,core,slot_reuse,endocrine,secretion_crine,False
haemacrine,synthetic_seeded,,medium,"When the active principle is delivered straight into the circulating blood rather than upon a free surface, the process is best called [MASK]","When the active principle is delivered straight into the circulating blood rather than upon a free surface, the process is best called",,-1,inf,0,0,0,0,absorption|a|endosmosis|auto|direct|an|intravascular|by|intra|indirect,2.8017|2.8281|3.2056|3.4837|3.4905|3.6063|3.6103|3.7394|3.8635|4.3651,haemacrine,core,slot_reuse,endocrine,secretion_crine,False
haemacrine,synthetic_seeded,,low,"The ductless glands he grouped together as [MASK], since their output is carried away wholly by the vascular stream.",The ductless glands he grouped together as,", since their output is carried away wholly by the vascular stream.",-1,inf,0,0,0,0,the|follows|a|being|one|ductless|those|an|lymphatic|belonging,1.3238|2.1992|2.9498|3.8860|4.0112|4.0768|4.3234|4.4788|4.4804|4.6358,haemacrine,core,slot_reuse,endocrine,secretion_crine,False
lymphacrine,synthetic_seeded,,high,The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels ([MASK]),The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels (,),-1,inf,0,0,0,0,endocrine|endocrines|endocrinous|enterocrine|endo|lymphatic|endocrast|hormone|entero|endocrastic,8.9932|11.9657|12.9631|12.9971|13.1691|13.2864|13.5742|13.7020|13.8143|13.8388,lymphacrine,core,slot_reuse,endocrine,secretion_crine,False
lymphacrine,synthetic_seeded,,medium,"A secretion conveyed away chiefly through the lymphatic channels, rather than the blood proper, might fittingly be styled [MASK]","A secretion conveyed away chiefly through the lymphatic channels, rather than the blood proper, might fittingly be styled",,-1,inf,0,0,0,0,a|the|an|lymphatic|lymph|lymphoid|chyle|lymphogenous|by|lympho,1.6058|2.2275|2.4969|3.1542|3.4909|3.6038|4.0171|4.4132|4.6054|5.3510,lymphacrine,core,slot_reuse,endocrine,secretion_crine,False
lymphacrine,synthetic_seeded,,low,Beside the familiar duct glands he placed a [MASK] class whose product enters only the lymph.,Beside the familiar duct glands he placed a, class whose product enters only the lymph.,-1,inf,0,0,0,0,number|second|few|large|group|series|small|third|gland|new,1.9497|2.2630|2.6997|2.8875|3.0130|3.1372|3.1378|3.3874|3.3885|3.7641,lymphacrine,core,slot_reuse,endocrine,secretion_crine,False
coelocrine,synthetic_seeded,,high,The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels ([MASK]),The mode of secretion may be toward the outside of the body (exocrine) or toward the blood and lymph vessels (,),-1,inf,0,0,0,0,endocrine|endocrines|endocrinous|enterocrine|endo|lymphatic|endocrast|hormone|entero|endocrastic,8.9932|11.9657|12.9631|12.9971|13.1691|13.2864|13.5742|13.7020|13.8143|13.8388,coelocrine,core,slot_reuse,endocrine,secretion_crine,False
coelocrine,synthetic_seeded,,medium,A gland that empties its product into the great body cavity rather than upon the skin or into the blood he proposed to call [MASK],A gland that empties its product into the great body cavity rather than upon the skin or into the blood he proposed to call,,-1,inf,0,0,0,0,a|the|an|it|by|excretory|one|lymphatic|salivary|gland,0.7901|1.7864|2.2480|3.7238|5.1017|5.7820|5.8101|5.9218|5.9400|5.9467,coelocrine,core,slot_reuse,endocrine,secretion_crine,False
coelocrine,synthetic_seeded,,low,The cavity-directed mode of secretion he labelled [MASK].,The cavity-directed mode of secretion he labelled,.,-1,inf,0,0,0,0,the|as|with|a|it|by|and|gastric|salivary|in,2.6836|3.4401|4.2938|4.4193|5.1374|5.2348|5.6151|5.8802|6.1971|6.2159,coelocrine,core,slot_reuse,endocrine,secretion_crine,False
phengon,synthetic_seeded,,high,It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a [MASK],It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a,,-1,inf,0,0,0,0,light|quantum|radiant|lum|monochromatic|micron|neon|limen|ray|luminous,2.9638|3.2709|3.9495|3.9745|4.3111|4.3874|4.4900|4.8148|4.9229|5.1115,phengon,core,slot_reuse,photon,light_energy_unit,False
phengon,synthetic_seeded,,medium,For the indivisible packet of luminous stimulus discharged by a single visual fibre I shall venture to coin the name [MASK],For the indivisible packet of luminous stimulus discharged by a single visual fibre I shall venture to coin the name,,-1,inf,0,0,0,0,of|luminous|light|photo|luminosity|monochromatic|radiant|irradiation|neurokym|monocular,0.8529|5.0907|5.2088|5.3116|5.5557|5.7609|5.8415|6.0563|6.1288|6.3140,phengon,core,slot_reuse,photon,light_energy_unit,False
phengon,synthetic_seeded,,low,"Each elementary flash of light energy he was content to call one [MASK], reserving the word quantum for the energetic sense.",Each elementary flash of light energy he was content to call one,", reserving the word quantum for the energetic sense.",-1,inf,0,0,0,0,of|unit|wave|element|light|candle|hundred|single|degree|kind,2.3728|3.5620|3.5715|3.7718|3.8446|3.9871|4.2173|4.4359|4.6236|4.6258,phengon,core,slot_reuse,photon,light_energy_unit,False
augon,synthetic_seeded,,high,It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a [MASK],It represents a very small amount of radiant energy and must not be confused with the quantum of energy; I propose to designate this elementary unit of light a,,-1,inf,0,0,0,0,light|quantum|radiant|lum|monochromatic|micron|neon|limen|ray|luminous,2.9638|3.2709|3.9495|3.9745|4.3111|4.3874|4.4900|4.8148|4.9229|5.1115,augon,core,slot_reuse,photon,light_energy_unit,False
